key,en,fr,am
backupKeyBody,Your prayers are encrypted with a key kept only on this device. Set up recovery so you don't lose access if you switch browsers or clear your data.,Vos prières sont chiffrées avec une clé conservée uniquement sur cet appareil. Configurez la récupération pour ne pas perdre l'accès si vous changez de navigateur ou effacez vos données.,ጸሎቶችዎ በዚህ መሣሪያ ላይ ብቻ በተቀመጠ ቁልፍ የተመሰጠሩ ናቸው። አሳሽ ሲቀይሩ ወይም ውሂብዎን ሲያጸዱ መዳረሻ እንዳያጡ መልሶ ማግኛን ያዋቅሩ።
backupKeyCta,Set up recovery,Configurer la récupération,መልሶ ማግኛን ያዋቅሩ
backupKeyDismiss,Not now,Plus tard,አሁን አይደለም
backupKeyWarn,"Without a backup, no one — not even we — can recover your prayers.","Sans sauvegarde, personne — pas même nous — ne peut récupérer tes prières.",ያለ ምትኬ ማንም — እኛም እንኳ — ጸሎቶችህን መመለስ አይችልም።
backupKeyDismissForever,Don't show again,Ne plus afficher,ዳግመኛ አታሳይ
activePrayers,Active,Actives,ንቁ
answeredPrayers,Answered,Exaucées,የተመለሱ
todaysPrayers,Today's prayers,Prières d'aujourd'hui,የዛሬ ጸሎቶች
subjects,subjects,sujets,ጉዳዮች
noPrayersToday,No prayers scheduled for today,Aucune prière planifiée pour aujourd'hui,ለዛሬ የተያዘ ጸሎት የለም
noPrayersSub,Add prayers or set up your weekly plan,Ajoutez des prières ou configurez votre plan,ጸሎቶችን ያክሉ ወይም የሳምንት እቅድዎን ያዘጋጁ
greetingMorning,Good morning,Bonjour,እንደምን አደሩ
greetingAfternoon,Good afternoon,Bon après-midi,እንደምን ዋሉ
greetingEvening,Good evening,Bonsoir,እንደምን አመሹ
search,Search...,Rechercher...,ፈልግ...
all,All,Toutes,ሁሉም
active,Active,Actives,ንቁ
answered,Answered,Exaucées,የተመለሱ
allCategories,All categories,Toutes catégories,ሁሉም ምድቦች
noPrayersFound,No prayers found,Aucune prière trouvée,ጸሎት አልተገኘም
noPrayersFoundSub,Add your first prayer with the + button,Ajoutez votre première prière avec le bouton +,በ + ቁልፍ የመጀመሪያ ጸሎትዎን ያክሉ
prayer,prayer,prière,ጸሎት
prayers2,prayers,prières,ጸሎቶች
active2,Active,Actif,ንቁ
answered2,Answered ✓,Exaucé ✓,ተመለሰ ✓
noUpdate,No updates yet,Aucune évolution,ምንም ዝማኔ የለም
newUpdate,New update...,Nouvelle évolution...,አዲስ ዝማኔ...
evolutions,Updates,Évolutions,ዝማኔዎች
aiSubjects,Prayer Points,Points de Prière,የጸሎት ነጥቦች
aiSuggest,Receive suggestions...,Recevoir des suggestions...,ምክሮችን ይቀበሉ...
aiPlaceholder,Tap to receive suggestions...,Appuyez pour recevoir des suggestions...,ምክሮችን ለማግኘት ይጫኑ...
aiConsentTitle,AI Feature,Fonctionnalité IA,የAI ባህሪ
aiConsentNoticePrayer,What we send: your prayer title and last update. Nothing else.,Ce que nous envoyons : le titre et la dernière mise à jour de votre prière. Rien d'autre.,የምንልከው: የጸሎትዎ ርዕስ እና የመጨረሻ ዝማኔ ብቻ።
aiConsentBodyPrayer,"To generate prayer points and verse suggestions, we send your prayer title and last update to Claude AI (Anthropic). This data is not stored by Anthropic beyond the API call.","Pour générer des points de prière et suggestions de versets, nous envoyons le titre et la dernière mise à jour de votre prière à Claude AI (Anthropic). Ces données ne sont pas stockées par Anthropic au-delà de l'appel API.",የጸሎት ነጥቦችን እና የቁጥር ሃሳቦችን ለመፍጠር፣ የጸሎትዎን ርዕስ እና የመጨረሻ ዝማኔ ወደ Claude AI (Anthropic) እንልካለን። ይህ ውሂብ ከ API ጥሪ ባሻገር አይቀመጥም።
aiConsentNoticeHome,"What we send: your prayer category names for today (e.g. Family, Health). Nothing else.","Ce que nous envoyons : les noms de vos catégories de prière du jour (ex. Famille, Santé). Rien d'autre.",የምንልከው: የዛሬዎቹ የጸሎት ምድቦች ስሞች (ለምሳሌ፡ ቤተሰብ፣ ጤና) ብቻ።
aiConsentBodyHome,"To suggest prayers for today, we send your day's category names to Claude AI (Anthropic). No personal prayer content is shared.","Pour suggérer des prières pour aujourd'hui, nous envoyons vos catégories du jour à Claude AI (Anthropic). Aucune prière personnelle n'est partagée.",ለዛሬ ጸሎቶችን ለመጠቆም፣ የዕለቱን ምድቦች ወደ Claude AI (Anthropic) እንልካለን። ምንም ግላዊ የጸሎት ይዘት አይጋራም።
aiConsentAccept,I agree,J'accepte,እቀበላለሁ
aiConsentDecline,No thanks,Non merci,አይ፣ አመሰግናለሁ
aiConsentFooter,This only applies to AI features. Your prayers remain private.,Ce choix ne s'applique qu'aux fonctionnalités IA. Vos prières restent privées.,ይህ ለAI ባህሪዎች ብቻ ይሠራል። ጸሎቶችዎ የግል ሆነው ይቆያሉ።
aiAboutTitle,AI assistance,Assistance IA,የ AI ድጋፍ
aiPostureFull,"The AI here is a study companion, not a pastor or prophet. It points you to Scripture but never speaks for God — always read the passage in your own Bible and weigh it in prayer.","L'IA ici est un compagnon d'étude, non un pasteur ni un prophète. Elle vous renvoie à l'Écriture mais ne parle jamais au nom de Dieu — lisez toujours le passage dans votre propre Bible et pesez-le dans la prière.",እዚህ ያለው AI የጥናት ጓደኛ ነው እንጂ ፓስተር ወይም ነቢይ አይደለም። ወደ ቅዱሳት መጻሕፍት ይመራሃል ግን ስለ እግዚአብሔር ፈጽሞ አይናገርም — ጥቅሱን ሁልጊዜ በራስህ መጽሐፍ ቅዱስ አንብብ በጸሎትም መዝነው።
aiRevoke,Turn off AI suggestions,Désactiver les suggestions IA,የ AI ጥቆማዎችን አጥፋ
aiRevoked,AI suggestions turned off.,Suggestions IA désactivées.,የ AI ጥቆማዎች ጠፍተዋል።
aiCurrentlyOff,AI suggestions are off. You'll be asked before anything is sent.,Les suggestions IA sont désactivées. On vous demandera avant tout envoi.,የ AI ጥቆማዎች ጠፍተዋል። ማንኛውም ነገር ከመላኩ በፊት ይጠየቃሉ።
community,Community,Communauté,ማህበረሰብ
selectGroup,Select a group,Sélectionner un groupe,ቡድን ይምረጡ
noGroups,No group yet,Aucun groupe pour l'instant,እስካሁን ቡድን የለም
noGroupsDesc,Create or join a group with an invite code,Créez un groupe ou rejoignez-en un avec un code d'invitation,ቡድን ይፍጠሩ ወይም በጋበዘ ኮድ ይቀላቀሉ
createGroup,Create a group,Créer un groupe,ቡድን ፍጠር
joinGroup,Join a group,Rejoindre un groupe,ቡድን ተቀላቀል
groupName,Group name,Nom du groupe,የቡድን ስም
inviteCode,Invite code,Code d'invitation,የጋበዘ ኮድ
join,Join,Rejoindre,ተቀላቀል
prayerRequests,Requests,Requêtes,ጥያቄዎች
newRequest,New request,Nouvelle requête,አዲስ ጥያቄ
iAmPraying,I'm praying,Je prie,እጸልያለሁ
prayingCount,praying,en prière,እየጸለዩ
addWord,Add a word,Ajouter un mot,ቃል ጨምር
wordPlaceholder,"A verse, an encouragement, an inspiration...","Un verset, une encouragement, une inspiration...",ቁጥር፣ ማበረታቻ፣ ጥበብ...
postTestimony,Post a testimony,Partager un témoignage,ምስክርነት አጋራ
anonymous,Post anonymously,Publier anonymement,ስም ሳይገልጽ ልጥፍ
anonymousAuthor,Anonymous,Anonyme,ስም አልባ
shareWithGroup,Share with group,Partager avec le groupe,ከቡድኑ ጋር አጋራ
shareGroupInfo,This prayer will be readable by members of this group. Praystead stores the shared content encrypted.,Cette prière sera lisible par les membres de ce groupe. Praystead stocke le contenu partagé de façon chiffrée.,ይህ ጸሎት በዚህ ቡድን አባላት ሊነበብ ይችላል። Praystead የተጋራውን ይዘት ተመስጥሮ ያስቀምጣል።
shareAnonNote,"Your name will be hidden from group members, but they can still read the prayer content.","Votre nom sera masqué pour les membres du groupe, mais ils pourront quand même lire le contenu de la prière.",ስምዎ ከቡድኑ አባላት ይደበቃል፣ ነገር ግን የጸሎቱን ይዘት አሁንም ማንበብ ይችላሉ።
sharePreviewLabel,Your group will see,Votre groupe verra,ቡድንዎ የሚያዩት
groupCode,Group code,Code du groupe,የቡድን ኮድ
codeCopied,Copied!,Copié !,ተቀድቷል!
noRequests,No requests yet,Aucune requête pour l'instant,እስካሁን ጥያቄ የለም
noTestimonies,No testimonies yet,Aucun témoignage pour l'instant,እስካሁን ምስክርነት የለም
beFirst,Be the first to share,Soyez le premier à partager,የመጀመሪያ አጋሪ ሁን
memberUpdates,Member updates,Mots des membres,የአባላት ቃላት
updateSyncing,Syncing… this word isn't available on this device yet.,Synchronisation… ce mot n'est pas encore disponible sur cet appareil.,በማመሳሰል ላይ… ይህ ቃል በዚህ መሣሪያ ላይ ገና አልተገኘም።
deleteWord,Delete word,Supprimer le mot,ቃል ሰርዝ
editWord,Edit word,Modifier le mot,ቃል አስተካክል
editTestimony,Edit testimony,Modifier le témoignage,ምስክርነት አስተካክል
editUpdate,Edit update,Modifier l'évolution,ዝማኔ አስተካክል
deleteUpdate,Delete update,Supprimer l'évolution,ዝማኔ ሰርዝ
deleteTestimony,Delete testimony,Supprimer le témoignage,ምስክርነት ሰርዝ
wordDeleted,Word deleted,Mot supprimé,ቃል ተሰርዟል
leaveGroup,Leave group,Quitter le groupe,ቡድኑን ለቅቅ
groupNotFound,Group not found,Groupe introuvable,ቡድን አልተገኘም
alreadyMember,You're already a member,Vous êtes déjà membre,አስቀድሞ አባል ነዎት
wordSent,Word added,Mot ajouté,ቃል ተጨምሯል
testimony,🎉 Testimony,🎉 Témoignage,🎉 ምስክርነት
myGroups,My Groups,Mes groupes,የእኔ ቡድኖች
friends,Friends,Amis,ጓደኞች
friendRequests,Friend Requests,Demandes d'amis,የጓደኝነት ጥያቄዎች
groupInvitations,Group Invitations,Invitations aux groupes,የቡድን ግብዣዎች
addFriend,Add Friend,Ajouter un ami,ጓደኛ ጨምር
accept,Accept,Accepter,ተቀበል
reject,Reject,Refuser,አትቀበል
send,Send,Envoyer,ላክ
remove,Remove,Supprimer,አስወግድ
admin,Admin,Admin,አስተዳዳሪ
owner,Owner,Propriétaire,ባለቤት
makeAdmin,Make admin,Nommer administrateur,አስተዳዳሪ አድርግ
removeAdminRole,Remove admin role,Retirer le rôle d'administrateur,የአስተዳዳሪ ሚና አስወግድ
promoteConfirmTitle,Make this member an admin?,Nommer ce membre administrateur ?,ይህን አባል አስተዳዳሪ ማድረግ?
promoteConfirmDesc,"Admins can manage members, invitations, the group name, and other admin-controlled group content.","Les administrateurs peuvent gérer les membres, les invitations, le nom du groupe et les autres contenus du groupe réservés aux administrateurs.",አስተዳዳሪዎች አባላትን፣ ግብዣዎችን፣ የቡድኑን ስም እና ሌሎች በአስተዳዳሪ የሚተዳደሩ የቡድን ይዘቶችን ማስተዳደር ይችላሉ።
demoteConfirmTitle,Remove admin access?,Retirer l'accès administrateur ?,የአስተዳዳሪ መዳረሻ ማስወገድ?
demoteConfirmDesc,"This member will no longer be able to manage members, invitations, or the group.","Ce membre ne pourra plus gérer les membres, les invitations ni le groupe.",ይህ አባል ከእንግዲህ አባላትን፣ ግብዣዎችን ወይም ቡድኑን ማስተዳደር አይችልም።
memberPromoted,Member promoted to admin,Membre promu administrateur,አባል ወደ አስተዳዳሪ ከፍ ተደርጓል
adminRemoved,Admin access removed,Accès administrateur retiré,የአስተዳዳሪ መዳረሻ ተወግዷል
cannotChangeOwnRole,You can't change your own role,Vous ne pouvez pas changer votre propre rôle,የራስዎን ሚና መቀየር አይችሉም
creatorCannotBeDemoted,The group creator can't be demoted,Le créateur du groupe ne peut pas être rétrogradé,የቡድኑ ፈጣሪ ዝቅ ሊደረግ አይችልም
creatorCannotBeRemoved,The group creator can't be removed,Le créateur du groupe ne peut pas être retiré,የቡድኑ ፈጣሪ ሊወገድ አይችልም
groupMustRetainAdmin,The group must keep at least one admin,Le groupe doit conserver au moins un administrateur,ቡድኑ ቢያንስ አንድ አስተዳዳሪ መያዝ አለበት
notAuthorizedAdmins,You're not authorized to manage administrators,Vous n'êtes pas autorisé à gérer les administrateurs,አስተዳዳሪዎችን ለማስተዳደር ፈቃድ የለዎትም
roleChangeFailed,Couldn't change the role. Please try again.,Impossible de changer le rôle. Veuillez réessayer.,ሚናውን መቀየር አልተቻለም። እባክዎ እንደገና ይሞክሩ።
removeFromGroup,Remove from group,Retirer du groupe,ከቡድን አስወግድ
memberActions,Member actions,Actions du membre,የአባል እርምጃዎች
invitedBy,Invited by,Invité par,የተጋበዘ በ
groupInviteFallbackTitle,Prayer group invitation,Invitation à un groupe de prière,የጸሎት ቡድን ግብዣ
groupInviteFallbackDesc,You've been invited to join and pray together,Vous êtes invité à rejoindre et à prier ensemble,እንዲቀላቀሉና በአንድነት እንዲጸልዩ ተጋብዘዋል
userNotFound,No user with that email,Aucun utilisateur avec cet e-mail,በዚህ ኢሜይል ተጠቃሚ የለም
cannotAddSelf,You can't add yourself,Vous ne pouvez pas vous ajouter vous-même,ራስዎን መጨመር አይችሉም
requestExists,Request already sent,Demande déjà envoyée,ጥያቄ አስቀድሞ ተልኳል
requestSent,Friend request sent!,Demande d'ami envoyée !,የጓደኝነት ጥያቄ ተልኳል!
sentRequests,Sent Requests,Demandes envoyées,የተላኩ ጥያቄዎች
awaitingResponse,Awaiting response,En attente de réponse,ምላሽ በመጠበቅ ላይ
requestCanceled,Request canceled,Demande annulée,ጥያቄ ተሰርዟል
manageGroup,Manage group,Gérer le groupe,ቡድን አስተዳድር
inviteFriends,Invite friends,Inviter des amis,ጓደኞችን ጋብዝ
noFriendsToInvite,No friends to invite,Aucun ami à inviter,የሚጋበዙ ጓደኞች የሉም
invite,Invite,Inviter,ጋብዝ
invited,Invited,Invité,ተጋብዟል
members,Members,Membres,አባላት
you,you,vous,እርስዎ
addToMyPrayers,Add to my prayers,Ajouter à mes prières,ወደ ጸሎቶቼ ጨምር
addedToMyPrayers,Added to my prayers,Ajouté à mes prières,ወደ ጸሎቶቼ ተጨምሯል
autoAddRequests,Auto-add new requests to my prayers,Ajouter automatiquement les nouvelles requêtes à mes prières,አዲስ ጥያቄዎችን ወደ ጸሎቶቼ በራስ-ሰር ጨምር
addedOn,Added on,Ajouté le,የተጨመረበት
answeredOn,· Answered on,· Exaucé le,· የተመለሰበት
markAnswered,Answered!,Exaucée!,ተመለሰ!
confirm,Confirm 🎉,Confirmer 🎉,አረጋግጥ 🎉
resumePrayer,Resume prayer,Remettre en prière,ጸሎትን ቀጥል
openBible,Open in Bible.com,Ouvrir dans Bible.com,በ Bible.com ክፈት
scriptureFirstTitle,Begin with God's Word,Commencez par la Parole de Dieu,በእግዚአብሔር ቃል ጀምር
scriptureFirstIntro,"Before you pray, let Scripture shape how you pray for this.","Avant de prier, laissez l'Écriture façonner votre prière pour ce sujet.",ከመጸለይህ በፊት፣ ስለዚህ እንዴት እንደምትጸልይ መጽሐፍ ቅዱስ ይቅረጽ።
findScripture,Open the Word on this,Ouvrir la Parole sur ce sujet,ስለዚህ ቃሉን ክፈት
scriptureFinding,Opening the Word…,Ouverture de la Parole…,ቃሉን በመክፈት ላይ…
aiSuggestedLabel,Suggested by AI — always read it in your own Bible.,Suggéré par l'IA — lisez toujours le passage dans votre propre Bible.,በ AI የተጠቆመ — ሁልጊዜ በራስህ መጽሐፍ ቅዱስ አንብበው።
readWholeChapter,Read the whole chapter,Lire tout le chapitre,ሙሉ ምዕራፉን አንብብ
readInApp,Read in the app,Lire dans l'application,በመተግበሪያው ውስጥ ያንብቡ
readFullPassage,Read the full passage,Lire le passage complet,ሙሉውን ክፍል ያንብቡ
loadingVerse,Opening the passage…,Ouverture du passage…,ክፍሉ እየተከፈተ ነው…
contextLabel,Context,Contexte,ዐውድ
biblicalThemes,Pray around these themes,Priez autour de ces thèmes,በእነዚህ ጭብጦች ዙሪያ ጸልይ
reflectLabel,Reflect,Méditez,አሰላስል
addAsPoint,Add as prayer point,Ajouter comme sujet de prière,እንደ የጸሎት ነጥብ ጨምር
addedPoint,Added,Ajouté,ታክሏል
prayNowCta,I'll pray now,Je vais prier,አሁን እጸልያለሁ
viewScripture,View Scripture,Voir la Parole,ቃሉን ተመልከት
tipViewScripture,Revisit the Scripture opened for this prayer,Revoir la Parole ouverte pour cette prière,ለዚህ ጸሎት የተከፈተውን ቃል እንደገና ተመልከት
scriptureOffline,You're offline. Reconnect to open the Word on this — you can always add a passage yourself.,Vous êtes hors ligne. Reconnectez-vous pour ouvrir la Parole — vous pouvez toujours ajouter un passage vous-même.,ከመስመር ውጭ ነህ። ቃሉን ለመክፈት እንደገና ተገናኝ — ሁልጊዜ ራስህ ክፍል መጨመር ትችላለህ።
scriptureNone,"No passage came back this time. Try again, or open your Bible and add your own.","Aucun passage cette fois. Réessayez, ou ouvrez votre Bible et ajoutez le vôtre.",በዚህ ጊዜ ምንም ክፍል አልተገኘም። እንደገና ሞክር፣ ወይም መጽሐፍ ቅዱስህን ከፍተህ የራስህን ጨምር።
retryScripture,Try again,Réessayer,እንደገና ሞክር
aiCooldown,Please wait {s}s before trying again.,Veuillez patienter {s}s avant de réessayer.,እንደገና ከመሞከርህ በፊት እባክህ {s}ሰ ጠብቅ።
aiBusy,The AI is busy right now. Please try again in a moment.,L'IA est occupée pour le moment. Veuillez réessayer dans un instant.,AI አሁን ተጠምዷል። እባክህ ከጥቂት ጊዜ በኋላ እንደገና ሞክር።
aiError,Couldn't reach the AI. Please try again.,Impossible de joindre l'IA. Veuillez réessayer.,AI ላይ መድረስ አልተቻለም። እባክህ እንደገና ሞክር።
testimonyPlaceholder,How did God answer this prayer? (optional),Comment Dieu a-t-il exaucé cette prière? (facultatif),እግዚአብሔር ይህን ጸሎት እንዴት መለሰ? (አማራጭ)
newPrayer,New prayer,Nouvelle prière,አዲስ ጸሎት
editPrayer,Edit prayer,Modifier la prière,ጸሎትን አርትዕ
prayerSubject,Prayer subject *,Sujet de prière *,የጸሎት ርዕስ *
prayerSubjectPlaceholder,e.g. Healing for my mother...,ex: Guérison de ma mère...,ምሳሌ: ለእናቴ ፈውስ...
details,Details (optional),Détails (facultatif),ዝርዝር (አማራጭ)
detailsPlaceholder,Describe your prayer request...,Décrivez votre sujet de prière...,የጸሎት ጥያቄዎን ይግለጹ...
categories,Categories,Catégories,ምድቦች
multipleAllowed,(multiple allowed),(plusieurs possibles),(ብዙ ይቻላል)
forOther,It's for someone else,C'est pour quelqu'un d'autre,ለሌላ ሰው ነው
personName,Name,Nom,ስም
cancel,Cancel,Annuler,ሰርዝ
add,Add prayer 🙏,Ajouter 🙏,ጸሎት ያክሉ 🙏
save,Save,Enregistrer,አስቀምጥ
savedPrivately,Saved privately.,Enregistré en privé.,በግል ተቀምጧል።
savedEncrypted,Saved privately · Encrypted on this device.,Enregistré en privé · Chiffré sur cet appareil.,በግል ተቀምጧል · በዚህ መሣሪያ ተመስጥሯል።
weeklyPlan,Weekly plan,Plan hebdomadaire,የሳምንት እቅድ
weeklyPlanSub,Assign each category to days of the week,Assignez chaque catégorie à des jours de la semaine,እያንዳንዱ ምድብ ለሳምንቱ ቀናት ይመድቡ
addCategory,Add,Ajouter,ያክሉ
addCategoryFull,Add a category,Ajouter une catégorie,ምድብ ያክሉ
newCategory,New category,Nouvelle catégorie,አዲስ ምድብ
edit,Edit,Modifier,አርትዕ
days,"Sun,Mon,Tue,Wed,Thu,Fri,Sat","Dim,Lun,Mar,Mer,Jeu,Ven,Sam","እሁድ,ሰኞ,ማክሰ,ረቡ,ሐሙስ,ዓርብ,ቅዳሜ"
profile,Profile,Profil,መገለጫ
memberSince,Member since,Membre depuis,አባል ከ
account,Account,Compte,መለያ
via,Via,Via,በኩል
signOut,Sign out,Se déconnecter,ውጣ
notifications,Notifications,Notifications,ማሳወቂያዎች
dailyReminder,Daily reminder,Rappel quotidien,የዕለት ማስታወሻ
dailyReminderSub,Remind you to pray every day,Rappel pour prier chaque jour,ለጸሎት ዕለታዊ ማስታወሻ
reminderTime,Reminder time,Heure du rappel,የማስታወሻ ሰዓት
followUp,Prayer follow-up,Suivi des prières,ክትትል
followUpSub,Ask for prayer updates,Demander l'évolution des prières,የጸሎት ዝማኔዎችን ይጠይቁ
followUpFreq,Follow-up frequency,Fréquence du suivi,ድግግሞሽ
every3days,Every 3 days,Tous les 3 jours,በ3 ቀን
everyWeek,Every week,Chaque semaine,በሳምንት
every2weeks,Every 2 weeks,Toutes les 2 semaines,በ2 ሳምንት
everyMonth,Every month,Chaque mois,በወር
testNotif,Test notification,Tester une notification,ማሳወቂያ ሙከራ
language,Language,Langue,ቋንቋ
languageSub,Interface language,Langue de l'interface,የበይነገጽ ቋንቋ
private,Your prayers are private and secure 🔒,Vos prières sont privées et sécurisées 🔒,ጸሎቶችዎ የግል እና ደህንነቱ የተጠበቀ ነው 🔒
motto,"""The fervent prayer of a righteous person is powerful and effective""","""La prière fervante du juste est d'une grande efficacité""","""የጻድቅ ሰው ጸሎት ብዙ ያደርጋል"""
appearance,Appearance,Apparence,መልክ
themeLight,Light,Clair,ብርሃን
themeDark,Dark,Sombre,ጨለማ
themeNight,Night,Nuit,ሌሊት
continueGoogle,Continue with Google,Continuer avec Google,በGoogle ቀጥል
login,Login,Connexion,ግባ
register,Register,Inscription,ተመዝገብ
categoriesHeading,Categories,Catégories,ምድቦች
newCategoryLabel,New category,Nouvelle catégorie,አዲስ ምድብ
editCategoryLabel,Edit category,Modifier la catégorie,ምድብ አርትዕ
emojiLabel,Emoji,Emoji,ኢሞጂ
colorLabel,Color,Couleur,ቀለም
prayerDays,Prayer days,Jours de prière,የጸሎት ቀናት
addBtn,Add,Ajouter,ያክሉ
saveBtn,Save,Enregistrer,አስቀምጥ
tipBack,Back to prayer list,Retour à la liste,ወደ ዝርዝር ተመለስ
tipEditPrayer,Edit this prayer,Modifier cette prière,ይህን ጸሎት አርትዕ
tipDeletePrayer,Delete this prayer permanently,Supprimer définitivement cette prière,ይህን ጸሎት ሙሉ በሙሉ ሰርዝ
tipAiSuggest,Receive suggestions...,Recevoir des suggestions...,ምክሮችን ይቀበሉ...
tipVerseToggle,Show or hide the verse text,Afficher ou masquer le texte du verset,የቁጥር ጽሑፍ አሳይ ወይም ደብቅ
tipRemovePoint,Remove this prayer point,Supprimer ce point de prière,ይህን የጸሎት ነጥብ ያስወግዱ
tipAddPoint,Add this prayer point to your prayer,Ajouter ce point de prière à votre prière,ይህን ነጥብ ወደ ጸሎት ያክሉ
tipSaveUpdate,Save this update,Enregistrer cette évolution,ይህን ዝማኔ አስቀምጥ
tipMarkAnswered,Mark this prayer as answered by God,Marquer cette prière comme exaucée,ይህን ጸሎት እንደ ተመለሰ ምልክት አድርግ
tipConfirm,Confirm and save your testimony,Confirmer et enregistrer votre témoignage,ያረጋግጡ እና ምስክርነት ያስቀምጡ
tipResume,Move this prayer back to active,Remettre cette prière en actif,ይህን ጸሎት ወደ ንቁ ይመልሱ
tipExpandSidebar,Expand sidebar,Agrandir le menu,የጎን አሞሌ ዘርጋ
tipCollapseSidebar,Collapse sidebar,Réduire le menu,የጎን አሞሌ ሰብሰብ
tipAddPrayer,Add a new prayer request,Ajouter une nouvelle prière,አዲስ ጸሎት ያክሉ
tipCloseForm,Close without saving,Fermer sans enregistrer,ሳያስቀምጡ ዝጋ
tipDiscard,Discard changes and close,Annuler les modifications,ለውጦችን ሰርዝ
tipSavePrayer,Save your changes,Enregistrer les modifications,ለውጦችን አስቀምጥ
tipAddPrayerForm,Add this prayer to your list,Ajouter cette prière à la liste,ይህን ጸሎት ወደ ዝርዝር ያክሉ
tipCreateCategory,Create a new prayer category,Créer une nouvelle catégorie,አዲስ የጸሎት ምድብ ፍጠር
tipEditCategory,Edit this category,Modifier cette catégorie,ይህን ምድብ አርትዕ
tipDeleteCategory,Delete this category,Supprimer cette catégorie,ይህን ምድብ ሰርዝ
tipToggleDay,Toggle {day} for this category,Activer/désactiver {day} pour cette catégorie,ለዚህ ምድብ {day} ቀይር
tipSignOut,Sign out of your account,Se déconnecter du compte,ከመለያ ውጣ
tipTestNotif,Send a test notification to verify they are working,Envoyer une notification test,የሙከራ ማሳወቂያ ላክ
tipExpand,Expand details,Afficher les détails,ዝርዝር አሳይ
tipCollapse,Collapse,Réduire,ሰብሰብ
addPointManually,Add a prayer point,Ajouter un point de prière,የጸሎት ነጥብ ያክሉ
pointTitlePlaceholder,Prayer subject...,Sujet de prière...,የጸሎት ርዕስ...
pointVersePlaceholder,Bible reference (optional),Référence biblique (facultatif),የመጽሐፍ ቅዱስ ማጣቀሻ (አማራጭ)
tipAddManualPoint,Add this point to the list,Ajouter ce point à la liste,ይህን ነጥብ ወደ ዝርዝር ያክሉ
addVerse,Add a verse,Ajouter un verset,ቁጥር ያክሉ
verseRefPlaceholder,e.g. John 3:16,ex : Jean 3:16,ምሳሌ: ዮሐንስ 3:16
verseTextPlaceholder,Verse text (optional),Texte du verset (facultatif),የቁጥር ጽሑፍ (አማራጭ)
tipRemoveVerse,Remove this verse,Supprimer ce verset,ይህን ቁጥር ያስወግዱ
tipAddVerse,Add a verse to this point,Ajouter un verset à ce point,ለዚህ ነጥብ ቁጥር ያክሉ
tipSaveVerse,Save this verse,Enregistrer ce verset,ይህን ቁጥር አስቀምጥ
aiDayLoading,Finding verses...,Recherche de versets...,ቁጥሮች እየተፈለጉ...
aiDayNoCats,Set up your weekly plan to see suggestions,Configurez votre plan hebdomadaire pour voir des suggestions,ምክሮችን ለማየት የሳምንት እቅድዎን ያዘጋጁ
emptyAddManual,Add a prayer,Ajouter une prière,ጸሎት ያክሉ
emptyEncourage,Start your prayer time,Commencez votre temps de prière,የጸሎት ጊዜዎን ይጀምሩ
feedbackTitle,Leave feedback,Laisser un avis,አስተያየት ይስጡ
feedbackTypeGeneral,General,Général,አጠቃላይ
feedbackTypeFeature,Idea,Idée,ሀሳብ
feedbackTypeBug,Bug,Bug,ስህተት
feedbackPlaceholder,"Share your feedback, ideas, or issues...","Partagez vos retours, suggestions ou problèmes...",አስተያየትዎን፣ ሀሳቦችዎን ወይም ችግሮችዎን ያጋሩ...
feedbackAnon,Send anonymously,Envoyer anonymement,ስም ሳይጠቅሱ ላክ
feedbackSubmit,Send,Envoyer,ላክ
feedbackThanks,Thank you for your feedback!,Merci pour votre retour !,ለአስተያየትዎ እናመሰግናለን!
feedbackThanksub,Your message has been received. It helps us improve the app.,Votre message a bien été reçu. Il nous aide à améliorer l'app.,መልዕክትዎ ተቀብለናል። ፕሮግራሙን ለማሻሻል ይረዳናል።
feedbackError,Error sending feedback. Please try again.,Erreur lors de l'envoi. Réessayez.,የላክ ስህተት። እንደገና ይሞክሩ።
feedbackBtn,Give feedback,Donner un avis,አስተያየት ይስጡ
feedbackSub,Help us improve the app,Aidez-nous à améliorer l'application,ፕሮግራሙን ለማሻሻል ይርዱን
donateTitle,Support the app,Soutenir l'application,ፕሮግራሙን ደግፉ
donateSub,"If this app blesses you, consider supporting its development.","Si cette app vous bénit, vous pouvez contribuer à son développement.",ይህ ፕሮግራም ቢረዳዎ፣ ልማቱን ለመደገፍ ያስቡ።
donateWhy,"This app is built alone, on my own time, for free — because I believe prayer changes things. Your donation, however small, helps keep the servers running, improve features, and keep the app free for everyone. Thank you from the bottom of my heart. 🙏","Cette application est développée seul, sur mon temps libre, gratuitement — parce que je crois que la prière change les choses. Votre don, même modeste, aide à maintenir les serveurs, améliorer les fonctionnalités et garder l'app accessible à tous. Merci du fond du cœur. 🙏",ይህ ፕሮግራም ብቸኛ ሆኜ፣ በነፃ ጊዜዬ፣ ያለ ክፍያ እሠራዋለሁ — ጸሎት ነገሮችን ይቀይራል ብዬ ስለማምን። ድጋፍዎ፣ ትንሽ ቢሆን እንኳ፣ አገልጋዮችን ለማሄድ፣ ባህሪያትን ለማሻሻል እና ፕሮግራሙን ለሁሉም ነፃ ለማድረግ ይረዳል። ከልብ አመሰግናለሁ። 🙏
donateBtn,Support,Soutenir,ደግፍ
