key,en,fr,tl
aiPostureFull,"The AI here is a study companion, not a pastor or prophet. It points you to Scripture but never speaks for God — always read the passage in your own Bible and weigh it in prayer.","L'IA ici est un compagnon d'étude, non un pasteur ni un prophète. Elle vous renvoie à l'Écriture mais ne parle jamais au nom de Dieu — lisez toujours le passage dans votre propre Bible et pesez-le dans la prière.","Ang AI dito ay kasama mo sa pag-aaral, hindi pastor o propeta. Itinuturo ka nito sa Kasulatan ngunit hindi kailanman nagsasalita para sa Diyos — laging basahin ang talata sa sarili mong Bibliya at timbangin sa panalangin."
aiRevoke,Turn off AI suggestions,Désactiver les suggestions IA,I-off ang mga mungkahi ng AI
aiRevoked,AI suggestions turned off.,Suggestions IA désactivées.,Na-off ang mga mungkahi ng AI.
aiCurrentlyOff,AI suggestions are off. You'll be asked before anything is sent.,Les suggestions IA sont désactivées. On vous demandera avant tout envoi.,Naka-off ang mga mungkahi ng AI. Tatanungin ka muna bago may ipadala.
community,Community,Communauté,Komunidad
selectGroup,Select a group,Sélectionner un groupe,Pumili ng grupo
noGroups,No group yet,Aucun groupe pour l'instant,Wala pang grupo
noGroupsDesc,Create or join a group with an invite code,Créez un groupe ou rejoignez-en un avec un code d'invitation,Lumikha ng grupo o sumali gamit ang invite code
createGroup,Create a group,Créer un groupe,Lumikha ng grupo
joinGroup,Join a group,Rejoindre un groupe,Sumali sa grupo
groupName,Group name,Nom du groupe,Pangalan ng grupo
inviteCode,Invite code,Code d'invitation,Invite code
join,Join,Rejoindre,Sumali
prayerRequests,Requests,Requêtes,Mga kahilingan
newRequest,New request,Nouvelle requête,Bagong kahilingan
iAmPraying,I'm praying,Je prie,Nananalangin ako
prayingCount,praying,en prière,nanalangin
addWord,Add a word,Ajouter un mot,Magdagdag ng salita
wordPlaceholder,"A verse, an encouragement, an inspiration...","Un verset, une encouragement, une inspiration...","Isang talata, pagpapalakas ng loob, inspirasyon..."
postTestimony,Post a testimony,Partager un témoignage,Mag-post ng patotoo
anonymous,Post anonymously,Publier anonymement,I-post nang walang pangalan
anonymousAuthor,Anonymous,Anonyme,Walang pangalan
shareWithGroup,Share with group,Partager avec le groupe,Ibahagi sa grupo
shareGroupInfo,This prayer will be readable by members of this group. Praystead stores the shared content encrypted.,Cette prière sera lisible par les membres de ce groupe. Praystead stocke le contenu partagé de façon chiffrée.,Mababasa ng mga miyembro ng grupong ito ang panalanging ito. Iniimbak ng Praystead ang ibinahaging nilalaman nang naka-encrypt.
shareAnonNote,"Your name will be hidden from group members, but they can still read the prayer content.","Votre nom sera masqué pour les membres du groupe, mais ils pourront quand même lire le contenu de la prière.","Itatago ang iyong pangalan sa mga miyembro ng grupo, ngunit mababasa pa rin nila ang nilalaman ng panalangin."
sharePreviewLabel,Your group will see,Votre groupe verra,Makikita ng iyong grupo
groupCode,Group code,Code du groupe,Code ng grupo
codeCopied,Copied!,Copié !,Nakopya!
noRequests,No requests yet,Aucune requête pour l'instant,Wala pang kahilingan
noTestimonies,No testimonies yet,Aucun témoignage pour l'instant,Wala pang patotoo
beFirst,Be the first to share,Soyez le premier à partager,Maging una sa pagbabahagi
memberUpdates,Member updates,Mots des membres,Mga salita ng miyembro
updateSyncing,Syncing… this word isn't available on this device yet.,Synchronisation… ce mot n'est pas encore disponible sur cet appareil.,Nagsi-sync… hindi pa available ang salitang ito sa device na ito.
deleteWord,Delete word,Supprimer le mot,Burahin ang salita
editWord,Edit word,Modifier le mot,I-edit ang salita
editTestimony,Edit testimony,Modifier le témoignage,I-edit ang patotoo
editUpdate,Edit update,Modifier l'évolution,I-edit ang update
deleteUpdate,Delete update,Supprimer l'évolution,Burahin ang update
deleteTestimony,Delete testimony,Supprimer le témoignage,Burahin ang patotoo
wordDeleted,Word deleted,Mot supprimé,Nabura ang salita
leaveGroup,Leave group,Quitter le groupe,Umalis sa grupo
groupNotFound,Group not found,Groupe introuvable,Hindi nahanap ang grupo
alreadyMember,You're already a member,Vous êtes déjà membre,Miyembro ka na
wordSent,Word added,Mot ajouté,Salita naidagdag
testimony,🎉 Testimony,🎉 Témoignage,🎉 Patotoo
myGroups,My Groups,Mes groupes,Aking mga Grupo
friends,Friends,Amis,Mga Kaibigan
friendRequests,Friend Requests,Demandes d'amis,Mga Hiling sa Pagkakaibigan
groupInvitations,Group Invitations,Invitations aux groupes,Mga Imbitasyon sa Grupo
addFriend,Add Friend,Ajouter un ami,Magdagdag ng Kaibigan
accept,Accept,Accepter,Tanggapin
reject,Reject,Refuser,Tanggihan
send,Send,Envoyer,Ipadala
remove,Remove,Supprimer,Alisin
admin,Admin,Admin,Admin
owner,Owner,Propriétaire,May-ari
makeAdmin,Make admin,Nommer administrateur,Gawing admin
removeAdminRole,Remove admin role,Retirer le rôle d'administrateur,Alisin ang tungkuling admin
promoteConfirmTitle,Make this member an admin?,Nommer ce membre administrateur ?,Gawing admin ang miyembrong ito?
promoteConfirmDesc,"Admins can manage members, invitations, the group name, and other admin-controlled group content.","Les administrateurs peuvent gérer les membres, les invitations, le nom du groupe et les autres contenus du groupe réservés aux administrateurs.","Kaya ng mga admin na pamahalaan ang mga miyembro, imbitasyon, pangalan ng grupo, at iba pang nilalaman ng grupo na kontrolado ng admin."
demoteConfirmTitle,Remove admin access?,Retirer l'accès administrateur ?,Alisin ang access ng admin?
demoteConfirmDesc,"This member will no longer be able to manage members, invitations, or the group.","Ce membre ne pourra plus gérer les membres, les invitations ni le groupe.","Hindi na mapapamahalaan ng miyembrong ito ang mga miyembro, imbitasyon, o ang grupo."
memberPromoted,Member promoted to admin,Membre promu administrateur,Na-promote ang miyembro bilang admin
adminRemoved,Admin access removed,Accès administrateur retiré,Inalis ang access ng admin
cannotChangeOwnRole,You can't change your own role,Vous ne pouvez pas changer votre propre rôle,Hindi mo mababago ang sarili mong tungkulin
creatorCannotBeDemoted,The group creator can't be demoted,Le créateur du groupe ne peut pas être rétrogradé,Hindi maaaring i-demote ang gumawa ng grupo
creatorCannotBeRemoved,The group creator can't be removed,Le créateur du groupe ne peut pas être retiré,Hindi maaaring alisin ang gumawa ng grupo
groupMustRetainAdmin,The group must keep at least one admin,Le groupe doit conserver au moins un administrateur,Dapat may kahit isang admin ang grupo
notAuthorizedAdmins,You're not authorized to manage administrators,Vous n'êtes pas autorisé à gérer les administrateurs,Wala kang awtorisasyon na pamahalaan ang mga administrador
roleChangeFailed,Couldn't change the role. Please try again.,Impossible de changer le rôle. Veuillez réessayer.,Hindi mabago ang tungkulin. Pakisubukang muli.
removeFromGroup,Remove from group,Retirer du groupe,Alisin sa grupo
memberActions,Member actions,Actions du membre,Mga aksyon sa miyembro
invitedBy,Invited by,Invité par,Inimbitahan ni
groupInviteFallbackTitle,Prayer group invitation,Invitation à un groupe de prière,Imbitasyon sa grupo ng panalangin
groupInviteFallbackDesc,You've been invited to join and pray together,Vous êtes invité à rejoindre et à prier ensemble,Inaanyayahan kang sumali at manalangin nang magkasama
userNotFound,No user with that email,Aucun utilisateur avec cet e-mail,Walang user na may email na iyon
cannotAddSelf,You can't add yourself,Vous ne pouvez pas vous ajouter vous-même,Hindi mo maidaragdag ang sarili mo
requestExists,Request already sent,Demande déjà envoyée,Naipadala na ang hiling
requestSent,Friend request sent!,Demande d'ami envoyée !,Naipadala ang hiling sa pagkakaibigan!
sentRequests,Sent Requests,Demandes envoyées,Mga Ipinadalang Hiling
awaitingResponse,Awaiting response,En attente de réponse,Naghihintay ng tugon
requestCanceled,Request canceled,Demande annulée,Kinansela ang hiling
manageGroup,Manage group,Gérer le groupe,Pamahalaan ang grupo
inviteFriends,Invite friends,Inviter des amis,Mag-imbita ng mga kaibigan
noFriendsToInvite,No friends to invite,Aucun ami à inviter,Walang kaibigang maiimbita
invite,Invite,Inviter,Imbitahan
invited,Invited,Invité,Naimbitahan
members,Members,Membres,Mga Miyembro
you,you,vous,ikaw
addToMyPrayers,Add to my prayers,Ajouter à mes prières,Idagdag sa aking mga panalangin
addedToMyPrayers,Added to my prayers,Ajouté à mes prières,Naidagdag sa aking mga panalangin
autoAddRequests,Auto-add new requests to my prayers,Ajouter automatiquement les nouvelles requêtes à mes prières,Awtomatikong idagdag ang mga bagong kahilingan sa aking mga panalangin
addedOn,Added on,Ajouté le,Idinagdag noong
answeredOn,· Answered on,· Exaucé le,· Nasagot noong
markAnswered,Answered!,Exaucée!,Nasagot na!
confirm,Confirm 🎉,Confirmer 🎉,Kumpirmahin 🎉
resumePrayer,Resume prayer,Remettre en prière,Ipagpatuloy ang panalangin
openBible,Open in Bible.com,Ouvrir dans Bible.com,Buksan sa Bible.com
scriptureFirstTitle,Begin with God's Word,Commencez par la Parole de Dieu,Magsimula sa Salita ng Diyos
scriptureFirstIntro,"Before you pray, let Scripture shape how you pray for this.","Avant de prier, laissez l'Écriture façonner votre prière pour ce sujet.","Bago manalangin, hayaang hubugin ng Kasulatan kung paano ka mananalangin para dito."
findScripture,Open the Word on this,Ouvrir la Parole sur ce sujet,Buksan ang Salita tungkol dito
scriptureFinding,Opening the Word…,Ouverture de la Parole…,Binubuksan ang Salita…
aiSuggestedLabel,Suggested by AI — always read it in your own Bible.,Suggéré par l'IA — lisez toujours le passage dans votre propre Bible.,Iminungkahi ng AI — palaging basahin ito sa sarili mong Bibliya.
readWholeChapter,Read the whole chapter,Lire tout le chapitre,Basahin ang buong kabanata
readInApp,Read in the app,Lire dans l'application,Basahin sa app
readFullPassage,Read the full passage,Lire le passage complet,Basahin ang buong sipi
loadingVerse,Opening the passage…,Ouverture du passage…,Binubuksan ang sipi…
contextLabel,Context,Contexte,Konteksto
biblicalThemes,Pray around these themes,Priez autour de ces thèmes,Manalangin sa mga temang ito
reflectLabel,Reflect,Méditez,Pagnilayan
addAsPoint,Add as prayer point,Ajouter comme sujet de prière,Idagdag bilang panalangin
addedPoint,Added,Ajouté,Naidagdag
prayNowCta,I'll pray now,Je vais prier,Mananalangin na ako
viewScripture,View Scripture,Voir la Parole,Tingnan ang Kasulatan
tipViewScripture,Revisit the Scripture opened for this prayer,Revoir la Parole ouverte pour cette prière,Muling tingnan ang Salitang binuksan para sa panalanging ito
scriptureOffline,You're offline. Reconnect to open the Word on this — you can always add a passage yourself.,Vous êtes hors ligne. Reconnectez-vous pour ouvrir la Parole — vous pouvez toujours ajouter un passage vous-même.,Offline ka. Kumonekta muli para buksan ang Salita — maaari kang palaging magdagdag ng talata nang ikaw mismo.
scriptureNone,"No passage came back this time. Try again, or open your Bible and add your own.","Aucun passage cette fois. Réessayez, ou ouvrez votre Bible et ajoutez le vôtre.","Walang talata sa pagkakataong ito. Subukan muli, o buksan ang iyong Bibliya at magdagdag ng sarili mo."
retryScripture,Try again,Réessayer,Subukan muli
aiCooldown,Please wait {s}s before trying again.,Veuillez patienter {s}s avant de réessayer.,Mangyaring maghintay ng {s}s bago muling subukan.
aiBusy,The AI is busy right now. Please try again in a moment.,L'IA est occupée pour le moment. Veuillez réessayer dans un instant.,Abala ang AI ngayon. Pakisubukan muli mamaya.
aiError,Couldn't reach the AI. Please try again.,Impossible de joindre l'IA. Veuillez réessayer.,Hindi maabot ang AI. Pakisubukan muli.
testimonyPlaceholder,How did God answer this prayer? (optional),Comment Dieu a-t-il exaucé cette prière? (facultatif),Paano sinagot ng Diyos ang panalanging ito? (opsyonal)
newPrayer,New prayer,Nouvelle prière,Bagong panalangin
editPrayer,Edit prayer,Modifier la prière,I-edit ang panalangin
prayerSubject,Prayer subject *,Sujet de prière *,Paksa ng panalangin *
prayerSubjectPlaceholder,e.g. Healing for my mother...,ex: Guérison de ma mère...,hal: Kagalingan ng aking ina...
details,Details (optional),Détails (facultatif),Mga detalye (opsyonal)
detailsPlaceholder,Describe your prayer request...,Décrivez votre sujet de prière...,Ilarawan ang iyong kahilingan sa panalangin...
categories,Categories,Catégories,Mga kategorya
multipleAllowed,(multiple allowed),(plusieurs possibles),(marami ang maaari)
forOther,It's for someone else,C'est pour quelqu'un d'autre,Ito ay para sa ibang tao
personName,Name,Nom,Pangalan
cancel,Cancel,Annuler,Kanselahin
add,Add prayer 🙏,Ajouter 🙏,Idagdag ang panalangin 🙏
save,Save,Enregistrer,I-save
savedPrivately,Saved privately.,Enregistré en privé.,Naka-save nang pribado.
savedEncrypted,Saved privately · Encrypted on this device.,Enregistré en privé · Chiffré sur cet appareil.,Naka-save nang pribado · Naka-encrypt sa device na ito.
weeklyPlan,Weekly plan,Plan hebdomadaire,Lingguhang plano
weeklyPlanSub,Assign each category to days of the week,Assignez chaque catégorie à des jours de la semaine,Italaga ang bawat kategorya sa mga araw ng linggo
addCategory,Add,Ajouter,Idagdag
addCategoryFull,Add a category,Ajouter une catégorie,Magdagdag ng kategorya
newCategory,New category,Nouvelle catégorie,Bagong kategorya
edit,Edit,Modifier,I-edit
days,"Sun,Mon,Tue,Wed,Thu,Fri,Sat","Dim,Lun,Mar,Mer,Jeu,Ven,Sam","Lin,Lun,Mar,Miy,Huw,Biy,Sab"
profile,Profile,Profil,Profile
memberSince,Member since,Membre depuis,Miyembro mula
account,Account,Compte,Account
via,Via,Via,Sa pamamagitan ng
signOut,Sign out,Se déconnecter,Mag-sign out
notifications,Notifications,Notifications,Mga notification
dailyReminder,Daily reminder,Rappel quotidien,Araw-araw na paalala
dailyReminderSub,Remind you to pray every day,Rappel pour prier chaque jour,Ipaalala ang pagdarasal araw-araw
reminderTime,Reminder time,Heure du rappel,Oras ng paalala
followUp,Prayer follow-up,Suivi des prières,Follow-up ng panalangin
followUpSub,Ask for prayer updates,Demander l'évolution des prières,Humingi ng mga update sa panalangin
followUpFreq,Follow-up frequency,Fréquence du suivi,Dalas
every3days,Every 3 days,Tous les 3 jours,Bawat 3 araw
everyWeek,Every week,Chaque semaine,Bawat linggo
every2weeks,Every 2 weeks,Toutes les 2 semaines,Bawat 2 linggo
everyMonth,Every month,Chaque mois,Bawat buwan
testNotif,Test notification,Tester une notification,Subukan ang notification
language,Language,Langue,Wika
languageSub,Interface language,Langue de l'interface,Wika ng interface
private,Your prayers are private and secure 🔒,Vos prières sont privées et sécurisées 🔒,Ang iyong mga panalangin ay pribado at ligtas 🔒
motto,"""The fervent prayer of a righteous person is powerful and effective""","""La prière fervante du juste est d'une grande efficacité""","""Ang taimtim na panalangin ng taong matuwid ay may malaking kapangyarihan"""
appearance,Appearance,Apparence,Hitsura
themeLight,Light,Clair,Maliwanag
themeDark,Dark,Sombre,Madilim
themeNight,Night,Nuit,Gabi
continueGoogle,Continue with Google,Continuer avec Google,Magpatuloy sa Google
login,Login,Connexion,Mag-login
register,Register,Inscription,Mag-register
categoriesHeading,Categories,Catégories,Mga kategorya
newCategoryLabel,New category,Nouvelle catégorie,Bagong kategorya
editCategoryLabel,Edit category,Modifier la catégorie,I-edit ang kategorya
emojiLabel,Emoji,Emoji,Emoji
colorLabel,Color,Couleur,Kulay
prayerDays,Prayer days,Jours de prière,Mga araw ng panalangin
addBtn,Add,Ajouter,Idagdag
saveBtn,Save,Enregistrer,I-save
tipBack,Back to prayer list,Retour à la liste,Bumalik sa listahan
tipEditPrayer,Edit this prayer,Modifier cette prière,I-edit ang panalanging ito
tipDeletePrayer,Delete this prayer permanently,Supprimer définitivement cette prière,Permanenteng burahin ang panalanging ito
tipAiSuggest,Receive suggestions...,Recevoir des suggestions...,Tumanggap ng mga mungkahi...
tipVerseToggle,Show or hide the verse text,Afficher ou masquer le texte du verset,Ipakita o itago ang teksto ng talata
tipRemovePoint,Remove this prayer point,Supprimer ce point de prière,Alisin ang puntong ito ng panalangin
tipAddPoint,Add this prayer point to your prayer,Ajouter ce point de prière à votre prière,Idagdag ang puntong ito sa panalangin mo
tipSaveUpdate,Save this update,Enregistrer cette évolution,I-save ang update na ito
tipMarkAnswered,Mark this prayer as answered by God,Marquer cette prière comme exaucée,Markahan ang panalanging ito bilang nasagot
tipConfirm,Confirm and save your testimony,Confirmer et enregistrer votre témoignage,Kumpirmahin at i-save ang iyong patotoo
tipResume,Move this prayer back to active,Remettre cette prière en actif,Ibalik ang panalanging ito sa aktibo
tipExpandSidebar,Expand sidebar,Agrandir le menu,Palawakin ang sidebar
tipCollapseSidebar,Collapse sidebar,Réduire le menu,Bawasan ang sidebar
tipAddPrayer,Add a new prayer request,Ajouter une nouvelle prière,Magdagdag ng bagong kahilingan sa panalangin
tipCloseForm,Close without saving,Fermer sans enregistrer,Isara nang hindi sine-save
tipDiscard,Discard changes and close,Annuler les modifications,Itapon ang mga pagbabago
tipSavePrayer,Save your changes,Enregistrer les modifications,I-save ang mga pagbabago
tipAddPrayerForm,Add this prayer to your list,Ajouter cette prière à la liste,Idagdag ang panalanging ito sa listahan
tipCreateCategory,Create a new prayer category,Créer une nouvelle catégorie,Lumikha ng bagong kategorya ng panalangin
tipEditCategory,Edit this category,Modifier cette catégorie,I-edit ang kategoryang ito
tipDeleteCategory,Delete this category,Supprimer cette catégorie,Burahin ang kategoryang ito
tipToggleDay,Toggle {day} for this category,Activer/désactiver {day} pour cette catégorie,I-toggle ang {day} para sa kategoryang ito
tipSignOut,Sign out of your account,Se déconnecter du compte,Mag-sign out sa account
tipTestNotif,Send a test notification to verify they are working,Envoyer une notification test,Magpadala ng test notification
tipExpand,Expand details,Afficher les détails,Palawakin ang mga detalye
tipCollapse,Collapse,Réduire,Bawasan
addPointManually,Add a prayer point,Ajouter un point de prière,Magdagdag ng punto ng panalangin
pointTitlePlaceholder,Prayer subject...,Sujet de prière...,Paksa ng panalangin...
pointVersePlaceholder,Bible reference (optional),Référence biblique (facultatif),Sanggunian sa Bibliya (opsyonal)
tipAddManualPoint,Add this point to the list,Ajouter ce point à la liste,Idagdag ang puntong ito sa listahan
addVerse,Add a verse,Ajouter un verset,Magdagdag ng talata
verseRefPlaceholder,e.g. John 3:16,ex : Jean 3:16,hal: Juan 3:16
verseTextPlaceholder,Verse text (optional),Texte du verset (facultatif),Teksto ng talata (opsyonal)
tipRemoveVerse,Remove this verse,Supprimer ce verset,Alisin ang talatang ito
tipAddVerse,Add a verse to this point,Ajouter un verset à ce point,Magdagdag ng talata sa puntong ito
tipSaveVerse,Save this verse,Enregistrer ce verset,I-save ang talatang ito
aiDayLoading,Finding verses...,Recherche de versets...,Naghahanap ng mga talata...
aiDayNoCats,Set up your weekly plan to see suggestions,Configurez votre plan hebdomadaire pour voir des suggestions,Itakda ang iyong lingguhang plano para makita ang mga mungkahi
emptyAddManual,Add a prayer,Ajouter une prière,Magdagdag ng panalangin
emptyEncourage,Start your prayer time,Commencez votre temps de prière,Simulan ang iyong oras ng panalangin
feedbackTitle,Leave feedback,Laisser un avis,Mag-iwan ng feedback
feedbackTypeGeneral,General,Général,Pangkalahatan
feedbackTypeFeature,Idea,Idée,Ideya
feedbackTypeBug,Bug,Bug,Bug
feedbackPlaceholder,"Share your feedback, ideas, or issues...","Partagez vos retours, suggestions ou problèmes...","Ibahagi ang iyong feedback, ideya, o mga isyu..."
feedbackAnon,Send anonymously,Envoyer anonymement,Ipadala nang walang pangalan
feedbackSubmit,Send,Envoyer,Ipadala
feedbackThanks,Thank you for your feedback!,Merci pour votre retour !,Salamat sa iyong feedback!
feedbackThanksub,Your message has been received. It helps us improve the app.,Votre message a bien été reçu. Il nous aide à améliorer l'app.,Natanggap na ang iyong mensahe. Nakakatulong ito sa aming pagpapabuti ng app.
feedbackError,Error sending feedback. Please try again.,Erreur lors de l'envoi. Réessayez.,Error sa pagpapadala. Subukan muli.
feedbackBtn,Give feedback,Donner un avis,Magbigay ng feedback
feedbackSub,Help us improve the app,Aidez-nous à améliorer l'application,Tulungan kaming mapabuti ang app
donateTitle,Support the app,Soutenir l'application,Suportahan ang app
donateSub,"If this app blesses you, consider supporting its development.","Si cette app vous bénit, vous pouvez contribuer à son développement.","Kung pinagpala ka ng app na ito, isaalang-alang ang pagsuporta sa pagpapaunlad nito."
donateWhy,"This app is built alone, on my own time, for free — because I believe prayer changes things. Your donation, however small, helps keep the servers running, improve features, and keep the app free for everyone. Thank you from the bottom of my heart. 🙏","Cette application est développée seul, sur mon temps libre, gratuitement — parce que je crois que la prière change les choses. Votre don, même modeste, aide à maintenir les serveurs, améliorer les fonctionnalités et garder l'app accessible à tous. Merci du fond du cœur. 🙏","Ang app na ito ay ginawa ko nang mag-isa, sa aking sariling oras, nang libre — dahil naniniwala ako na binabago ng panalangin ang mga bagay. Ang iyong donasyon, kahit maliit, ay tumutulong sa pagpapanatili ng mga server, pagpapabuti ng mga feature, at pagpapanatili ng app na libre para sa lahat. Salamat mula sa kaibuturan ng aking puso. 🙏"
donateBtn,Support,Soutenir,Suportahan
donateChooseMethod,Choose a payment method,Choisir un moyen de paiement,Pumili ng paraan ng pagbabayad
donateSelectBtn,Select,Choisir,Pumili
donateComingSoon,Coming soon,Bientôt,Malapit na
donateThanks,Every contribution matters. God bless you. 🙏,Chaque contribution compte. Que Dieu vous bénisse. 🙏,Ang bawat kontribusyon ay mahalaga. Pagpalain ka ng Diyos. 🙏
close,Close,Fermer,Isara
errorGeneric,Something went wrong. Please try again.,Une erreur est survenue. Réessayez.,May nangyaring mali. Pakisubukang muli.
errorBoundaryTitle,Something went wrong,Quelque chose s'est mal passé,May nangyaring mali
errorBoundaryBody,An unexpected error occurred. Your prayers are safe. You can try again or reload the app.,Une erreur inattendue s'est produite. Vos prières sont en sécurité. Vous pouvez réessayer ou recharger l'application.,May hindi inaasahang error na naganap. Ligtas ang iyong mga panalangin. Maaari kang subukang muli o i-reload ang app.
errorBoundaryReload,Reload the app,Recharger l'application,I-reload ang app
retry,Try again,Réessayer,Subukang muli
leaveGroupConfirm,Are you sure you want to leave this group?,Êtes-vous sûr de vouloir quitter ce groupe ?,Sigurado ka bang gusto mong umalis sa grupong ito?
searchRequests,Search a request...,Rechercher une requête...,Maghanap ng kahilingan...
noMatch,No results,Aucun résultat,Walang resulta
offline,You're offline,Vous êtes hors ligne,Offline ka
shareInviteLink,Share invite link,Partager le lien d'invitation,Ibahagi ang link ng imbitasyon
linkCopied,Link copied!,Lien copié !,Nakopya ang link!
joinedGroup,You joined the group,Vous avez rejoint le groupe,Sumali ka sa grupo
undo,Undo,Annuler,I-undo
friendRemoved,Friend removed,Ami supprimé,Inalis ang kaibigan
delete,Delete,Supprimer,Tanggalin
deleteWarning,This action can't be undone.,Cette action est irréversible.,Hindi na mababawi ang aksyong ito.
deleteCategoryConfirm,Delete this category?,Supprimer cette catégorie ?,Tanggalin ang kategoryang ito?
removeMemberConfirm,Remove this member from the group?,Retirer ce membre du groupe ?,Alisin ang miyembrong ito sa grupo?
showQrCode,QR code,Code QR,QR code
scanToJoin,Scan to join the group,Scannez pour rejoindre le groupe,I-scan para sumali sa grupo
joinMyGroup,Join my prayer group,Rejoignez mon groupe de prière,Sumali sa aking grupo ng panalangin
planDayHint,Choose which categories to pray on this day,Choisissez les catégories à prier ce jour,Piliin kung aling mga kategorya ang ipananalangin sa araw na ito
planEmptyDays,These days have nothing planned:,Ces jours n'ont rien de prévu :,Walang nakaplano sa mga araw na ito:
categoryNotScheduled,Not scheduled,Non planifiée,Hindi naka-iskedyul
unassignedCategories,{count} category(ies) not scheduled,{count} catégorie(s) non planifiée(s),{count} kategorya na hindi naka-iskedyul
autoSchedule,Schedule automatically,Planifier automatiquement,Awtomatikong i-iskedyul
categoriesScheduled,Categories scheduled,Catégories planifiées,Naka-iskedyul ang mga kategorya
meAuthor,Me,Moi,Ako
moveUp,Move up,Monter,Ilipat pataas
moveDown,Move down,Descendre,Ilipat pababa
prayerDaysHint,"If no day is chosen, follows your category plan","Si aucun jour n'est choisi, suit le plan des catégories","Kung walang araw na pinili, susundin ang plano ng kategorya"
prayerDaysCustom,Custom days (overrides category plan),Jours personnalisés (remplace le plan des catégories),Pasadyang mga araw (pinapalitan ang plano ng kategorya)
noCategoriesYet,No categories yet,Aucune catégorie pour l'instant,Wala pang kategorya
categoryNamePlaceholder,Category name,Nom de la catégorie,Pangalan ng kategorya
faithfulness,Remember God's faithfulness,Souvenez-vous de la fidélité de Dieu,Alalahanin ang katapatan ng Diyos
noAnsweredYet,No answered prayers yet,Aucune prière exaucée pour l'instant,Wala pang sinagot na panalangin
noAnsweredSub,"When a prayer is answered, mark it and its testimony will appear here.","Quand une prière est exaucée, marquez-la et son témoignage apparaîtra ici.","Kapag nasagot ang isang panalangin, markahan ito at lalabas dito ang patotoo nito."
seeTranslation,See translation,Voir la traduction,Tingnan ang salin
showOriginal,See original,Voir l'original,Tingnan ang orihinal
pushUnsupported,Your browser does not support notifications.,Votre navigateur ne prend pas en charge les notifications.,Hindi sinusuportahan ng iyong browser ang mga notification.
pushDenied,Notifications were denied. Enable them in your browser settings.,Notifications refusées. Activez-les dans les réglages du navigateur.,Tinanggihan ang mga notification. I-enable sa browser settings.
remindersOn,Reminders enabled 🙏,Rappels activés 🙏,Naka-on ang mga paalala 🙏
onboardScriptureTitle,Pray God's Word,Priez la Parole de Dieu,Ipanalangin ang Salita ng Diyos
onboardScriptureBody,"Tap the verse finder to surface Scripture for any request, and read the Bible right where you pray. Grow with guided plans through the Psalms, God's promises, and more.","Touchez le chercheur de versets pour trouver l’Écriture liée à chaque demande, et lisez la Bible là où vous priez. Grandissez avec des guides à travers les Psaumes, les promesses de Dieu, et plus encore.","I-tap ang verse finder upang makita ang Kasulatang nauugnay sa bawat kahilingan, at basahin ang Bibliya mismo sa lugar kung saan ka nananalangin. Lumago sa gabay sa mga Awit, mga pangako ng Diyos, at higit pa."
onboardPlanTitle,Plan your prayers,Planifiez vos prières,Planuhin ang iyong mga panalangin
onboardPlanBody,"Schedule any prayer — one time or recurring (daily, on chosen days), or even ""until answered."" A simple calendar shows what to pray today, with gentle catch-up when you miss a day.","Programmez chaque prière — ponctuelle ou récurrente (chaque jour, certains jours), ou même « jusqu’à la réponse ». Un calendrier simple montre quoi prier aujourd’hui, avec un rattrapage en douceur si vous manquez un jour.","Iiskedyul ang bawat panalangin — minsanan o paulit-ulit (araw-araw, sa piniling mga araw), o kahit ‘hanggang masagot’. Ipinapakita ng simpleng kalendaryo kung ano ang ipagdarasal ngayon, na may banayad na paghabol kapag may araw na nalaktawan."
onboardCommunityTitle,Pray together,Priez ensemble,Magdasal nang sama-sama
onboardCommunityBody,"Join groups, share requests, and pray for one another.","Rejoignez des groupes, partagez des sujets et priez les uns pour les autres.","Sumali sa mga grupo, magbahagi ng kahilingan, at magdasal para sa isa’t isa."
onboardVaultTitle,Keep it private,Gardez le secret,Panatilihing pribado
onboardVaultBody,"Lock your private prayers in an end-to-end encrypted vault — only your passphrase opens it, and not even we can read them.","Verrouillez vos prières privées dans un coffre chiffré de bout en bout — seule votre phrase secrète l'ouvre, et même nous ne pouvons pas les lire.","I-lock ang iyong mga pribadong panalangin sa isang end-to-end encrypted na vault — tanging ang iyong passphrase lang ang makakapagbukas, hindi rin namin ito mababasa."
onboardStart,Get started,Commencer,Magsimula
dataTitle,Your data,Vos données,Ang iyong data
exportData,Export my prayers,Exporter mes prières,I-export ang aking mga panalangin
exportDataSub,Download all your prayers and testimonies as a file.,Téléchargez toutes vos prières et témoignages en un fichier.,I-download ang lahat ng iyong panalangin at patotoo bilang file.
exportDone,Export downloaded 🙏,Export téléchargé 🙏,Na-download ang export 🙏
thisWeek,this week,cette semaine,ngayong linggo
newCount,{n} new,{n} nouveau,{n} bago
syncing,Syncing…,Synchronisation…,Sini-sync…
pendingChanges,{n} waiting,{n} en attente,{n} naghihintay
groupSettings,Group settings,Paramètres du groupe,Mga setting ng grupo
autoAddRequestsSub,New requests from this group are added to your prayers automatically.,Les nouvelles demandes de ce groupe sont ajoutées automatiquement à vos prières.,Ang mga bagong kahilingan mula sa grupong ito ay awtomatikong idinaragdag sa iyong mga panalangin.
fromYourGroups,From your groups,Depuis vos groupes,Mula sa iyong mga grupo
