key,en,fr,sw
aiPostureFull,"The AI here is a study companion, not a pastor or prophet. It points you to Scripture but never speaks for God — always read the passage in your own Bible and weigh it in prayer.","L'IA ici est un compagnon d'étude, non un pasteur ni un prophète. Elle vous renvoie à l'Écriture mais ne parle jamais au nom de Dieu — lisez toujours le passage dans votre propre Bible et pesez-le dans la prière.","AI hapa ni mwenzi wa kujifunza, si mchungaji wala nabii. Inakuelekeza kwenye Maandiko lakini haisemi kamwe kwa niaba ya Mungu — soma fungu daima katika Biblia yako mwenyewe na ulipime katika maombi."
aiRevoke,Turn off AI suggestions,Désactiver les suggestions IA,Zima mapendekezo ya AI
aiRevoked,AI suggestions turned off.,Suggestions IA désactivées.,Mapendekezo ya AI yamezimwa.
aiCurrentlyOff,AI suggestions are off. You'll be asked before anything is sent.,Les suggestions IA sont désactivées. On vous demandera avant tout envoi.,Mapendekezo ya AI yamezimwa. Utaulizwa kabla ya kutuma chochote.
community,Community,Communauté,Jumuiya
selectGroup,Select a group,Sélectionner un groupe,Chagua kikundi
noGroups,No group yet,Aucun groupe pour l'instant,Bado hakuna kikundi
noGroupsDesc,Create or join a group with an invite code,Créez un groupe ou rejoignez-en un avec un code d'invitation,Unda kikundi au jiunge na moja kwa kutumia nambari ya mwaliko
createGroup,Create a group,Créer un groupe,Unda kikundi
joinGroup,Join a group,Rejoindre un groupe,Jiunge na kikundi
groupName,Group name,Nom du groupe,Jina la kikundi
inviteCode,Invite code,Code d'invitation,Nambari ya mwaliko
join,Join,Rejoindre,Jiunge
prayerRequests,Requests,Requêtes,Maombi
newRequest,New request,Nouvelle requête,Ombi jipya
iAmPraying,I'm praying,Je prie,Ninakuombea
prayingCount,praying,en prière,wanaoomba
addWord,Add a word,Ajouter un mot,Ongeza neno
wordPlaceholder,"A verse, an encouragement, an inspiration...","Un verset, une encouragement, une inspiration...","Mstari, moyo, msukumo..."
postTestimony,Post a testimony,Partager un témoignage,Shiriki ushuhuda
anonymous,Post anonymously,Publier anonymement,Chapisha bila jina
anonymousAuthor,Anonymous,Anonyme,Bila jina
shareWithGroup,Share with group,Partager avec le groupe,Shiriki na kikundi
shareGroupInfo,This prayer will be readable by members of this group. Praystead stores the shared content encrypted.,Cette prière sera lisible par les membres de ce groupe. Praystead stocke le contenu partagé de façon chiffrée.,Maombi haya yataweza kusomwa na washiriki wa kikundi hiki. Praystead huhifadhi maudhui yaliyoshirikiwa yakiwa yamesimbwa kwa njia fiche.
shareAnonNote,"Your name will be hidden from group members, but they can still read the prayer content.","Votre nom sera masqué pour les membres du groupe, mais ils pourront quand même lire le contenu de la prière.","Jina lako litafichwa kwa washiriki wa kikundi, lakini bado wanaweza kusoma maudhui ya maombi."
sharePreviewLabel,Your group will see,Votre groupe verra,Kikundi chako kitaona
groupCode,Group code,Code du groupe,Nambari ya kikundi
codeCopied,Copied!,Copié !,Imenakiliwa!
noRequests,No requests yet,Aucune requête pour l'instant,Bado hakuna maombi
noTestimonies,No testimonies yet,Aucun témoignage pour l'instant,Bado hakuna ushuhuda
beFirst,Be the first to share,Soyez le premier à partager,Kuwa wa kwanza kushiriki
memberUpdates,Member updates,Mots des membres,Maneno ya wanachama
updateSyncing,Syncing… this word isn't available on this device yet.,Synchronisation… ce mot n'est pas encore disponible sur cet appareil.,Inasawazisha… neno hili bado halipatikani kwenye kifaa hiki.
deleteWord,Delete word,Supprimer le mot,Futa neno
editWord,Edit word,Modifier le mot,Hariri neno
editTestimony,Edit testimony,Modifier le témoignage,Hariri ushuhuda
editUpdate,Edit update,Modifier l'évolution,Hariri badiliko
deleteUpdate,Delete update,Supprimer l'évolution,Futa badiliko
deleteTestimony,Delete testimony,Supprimer le témoignage,Futa ushuhuda
wordDeleted,Word deleted,Mot supprimé,Neno limefutwa
leaveGroup,Leave group,Quitter le groupe,Acha kikundi
groupNotFound,Group not found,Groupe introuvable,Kikundi hakipatikani
alreadyMember,You're already a member,Vous êtes déjà membre,Tayari wewe ni mwanachama
wordSent,Word added,Mot ajouté,Neno limeongezwa
testimony,🎉 Testimony,🎉 Témoignage,🎉 Ushuhuda
myGroups,My Groups,Mes groupes,Vikundi Vyangu
friends,Friends,Amis,Marafiki
friendRequests,Friend Requests,Demandes d'amis,Maombi ya Urafiki
groupInvitations,Group Invitations,Invitations aux groupes,Mialiko ya Vikundi
addFriend,Add Friend,Ajouter un ami,Ongeza Rafiki
accept,Accept,Accepter,Kubali
reject,Reject,Refuser,Kataa
send,Send,Envoyer,Tuma
remove,Remove,Supprimer,Ondoa
admin,Admin,Admin,Msimamizi
owner,Owner,Propriétaire,Mmiliki
makeAdmin,Make admin,Nommer administrateur,Fanya msimamizi
removeAdminRole,Remove admin role,Retirer le rôle d'administrateur,Ondoa jukumu la msimamizi
promoteConfirmTitle,Make this member an admin?,Nommer ce membre administrateur ?,Mfanye mwanachama huyu msimamizi?
promoteConfirmDesc,"Admins can manage members, invitations, the group name, and other admin-controlled group content.","Les administrateurs peuvent gérer les membres, les invitations, le nom du groupe et les autres contenus du groupe réservés aux administrateurs.","Wasimamizi wanaweza kusimamia wanachama, mialiko, jina la kikundi, na maudhui mengine ya kikundi yanayodhibitiwa na wasimamizi."
demoteConfirmTitle,Remove admin access?,Retirer l'accès administrateur ?,Ondoa ufikiaji wa msimamizi?
demoteConfirmDesc,"This member will no longer be able to manage members, invitations, or the group.","Ce membre ne pourra plus gérer les membres, les invitations ni le groupe.","Mwanachama huyu hataweza tena kusimamia wanachama, mialiko, au kikundi."
memberPromoted,Member promoted to admin,Membre promu administrateur,Mwanachama amepandishwa kuwa msimamizi
adminRemoved,Admin access removed,Accès administrateur retiré,Ufikiaji wa msimamizi umeondolewa
cannotChangeOwnRole,You can't change your own role,Vous ne pouvez pas changer votre propre rôle,Huwezi kubadilisha jukumu lako mwenyewe
creatorCannotBeDemoted,The group creator can't be demoted,Le créateur du groupe ne peut pas être rétrogradé,Muundaji wa kikundi hawezi kushushwa
creatorCannotBeRemoved,The group creator can't be removed,Le créateur du groupe ne peut pas être retiré,Muundaji wa kikundi hawezi kuondolewa
groupMustRetainAdmin,The group must keep at least one admin,Le groupe doit conserver au moins un administrateur,Kikundi lazima kibaki na angalau msimamizi mmoja
notAuthorizedAdmins,You're not authorized to manage administrators,Vous n'êtes pas autorisé à gérer les administrateurs,Huna ruhusa ya kusimamia wasimamizi
roleChangeFailed,Couldn't change the role. Please try again.,Impossible de changer le rôle. Veuillez réessayer.,Imeshindwa kubadilisha jukumu. Tafadhali jaribu tena.
removeFromGroup,Remove from group,Retirer du groupe,Ondoa kwenye kikundi
memberActions,Member actions,Actions du membre,Vitendo vya mwanachama
invitedBy,Invited by,Invité par,Amealikwa na
groupInviteFallbackTitle,Prayer group invitation,Invitation à un groupe de prière,Mwaliko wa kikundi cha maombi
groupInviteFallbackDesc,You've been invited to join and pray together,Vous êtes invité à rejoindre et à prier ensemble,Umealikwa kujiunga na kuomba pamoja
userNotFound,No user with that email,Aucun utilisateur avec cet e-mail,Hakuna mtumiaji mwenye barua pepe hiyo
cannotAddSelf,You can't add yourself,Vous ne pouvez pas vous ajouter vous-même,Huwezi kujiongeza mwenyewe
requestExists,Request already sent,Demande déjà envoyée,Ombi tayari limetumwa
requestSent,Friend request sent!,Demande d'ami envoyée !,Ombi la urafiki limetumwa!
sentRequests,Sent Requests,Demandes envoyées,Maombi Yaliyotumwa
awaitingResponse,Awaiting response,En attente de réponse,Inasubiri jibu
requestCanceled,Request canceled,Demande annulée,Ombi limeghairiwa
manageGroup,Manage group,Gérer le groupe,Simamia kikundi
inviteFriends,Invite friends,Inviter des amis,Alika marafiki
noFriendsToInvite,No friends to invite,Aucun ami à inviter,Hakuna marafiki wa kualika
invite,Invite,Inviter,Alika
invited,Invited,Invité,Amealikwa
members,Members,Membres,Wanachama
you,you,vous,wewe
addToMyPrayers,Add to my prayers,Ajouter à mes prières,Ongeza kwenye maombi yangu
addedToMyPrayers,Added to my prayers,Ajouté à mes prières,Imeongezwa kwenye maombi yangu
autoAddRequests,Auto-add new requests to my prayers,Ajouter automatiquement les nouvelles requêtes à mes prières,Ongeza maombi mapya kiotomatiki kwenye maombi yangu
addedOn,Added on,Ajouté le,Iliongezwa
answeredOn,· Answered on,· Exaucé le,· Ilijibiwa
markAnswered,Answered!,Exaucée!,Ilijibiwa!
confirm,Confirm 🎉,Confirmer 🎉,Thibitisha 🎉
resumePrayer,Resume prayer,Remettre en prière,Endelea kuomba
openBible,Open in Bible.com,Ouvrir dans Bible.com,Fungua katika Bible.com
scriptureFirstTitle,Begin with God's Word,Commencez par la Parole de Dieu,Anza na Neno la Mungu
scriptureFirstIntro,"Before you pray, let Scripture shape how you pray for this.","Avant de prier, laissez l'Écriture façonner votre prière pour ce sujet.","Kabla ya kuomba, acha Maandiko yaongoze jinsi unavyoomba kuhusu hili."
findScripture,Open the Word on this,Ouvrir la Parole sur ce sujet,Fungua Neno kuhusu hili
scriptureFinding,Opening the Word…,Ouverture de la Parole…,Inafungua Neno…
aiSuggestedLabel,Suggested by AI — always read it in your own Bible.,Suggéré par l'IA — lisez toujours le passage dans votre propre Bible.,Imependekezwa na AI — soma daima katika Biblia yako mwenyewe.
readWholeChapter,Read the whole chapter,Lire tout le chapitre,Soma sura nzima
readInApp,Read in the app,Lire dans l'application,Soma ndani ya programu
readFullPassage,Read the full passage,Lire le passage complet,Soma fungu zima
loadingVerse,Opening the passage…,Ouverture du passage…,Inafungua fungu…
contextLabel,Context,Contexte,Muktadha
biblicalThemes,Pray around these themes,Priez autour de ces thèmes,Omba kuhusu mada hizi
reflectLabel,Reflect,Méditez,Tafakari
addAsPoint,Add as prayer point,Ajouter comme sujet de prière,Ongeza kama hoja ya maombi
addedPoint,Added,Ajouté,Imeongezwa
prayNowCta,I'll pray now,Je vais prier,Nitaomba sasa
viewScripture,View Scripture,Voir la Parole,Angalia Neno
tipViewScripture,Revisit the Scripture opened for this prayer,Revoir la Parole ouverte pour cette prière,Angalia tena Neno lililofunguliwa kwa ajili ya ombi hili
scriptureOffline,You're offline. Reconnect to open the Word on this — you can always add a passage yourself.,Vous êtes hors ligne. Reconnectez-vous pour ouvrir la Parole — vous pouvez toujours ajouter un passage vous-même.,Hauko mtandaoni. Unganisha tena ili kufungua Neno — unaweza kila wakati kuongeza fungu mwenyewe.
scriptureNone,"No passage came back this time. Try again, or open your Bible and add your own.","Aucun passage cette fois. Réessayez, ou ouvrez votre Bible et ajoutez le vôtre.","Hakuna fungu lililopatikana wakati huu. Jaribu tena, au fungua Biblia yako na uongeze lako."
retryScripture,Try again,Réessayer,Jaribu tena
aiCooldown,Please wait {s}s before trying again.,Veuillez patienter {s}s avant de réessayer.,Tafadhali subiri sekunde {s} kabla ya kujaribu tena.
aiBusy,The AI is busy right now. Please try again in a moment.,L'IA est occupée pour le moment. Veuillez réessayer dans un instant.,AI ina shughuli nyingi kwa sasa. Tafadhali jaribu tena baada ya muda mfupi.
aiError,Couldn't reach the AI. Please try again.,Impossible de joindre l'IA. Veuillez réessayer.,Imeshindwa kufikia AI. Tafadhali jaribu tena.
testimonyPlaceholder,How did God answer this prayer? (optional),Comment Dieu a-t-il exaucé cette prière? (facultatif),Mungu alijibu vipi ombi hili? (hiari)
newPrayer,New prayer,Nouvelle prière,Ombi jipya
editPrayer,Edit prayer,Modifier la prière,Hariri ombi
prayerSubject,Prayer subject *,Sujet de prière *,Mada ya ombi *
prayerSubjectPlaceholder,e.g. Healing for my mother...,ex: Guérison de ma mère...,mf: Uponyaji wa mama yangu...
details,Details (optional),Détails (facultatif),Maelezo (hiari)
detailsPlaceholder,Describe your prayer request...,Décrivez votre sujet de prière...,Elezea ombi lako...
categories,Categories,Catégories,Makundi
multipleAllowed,(multiple allowed),(plusieurs possibles),(mengi yanawezekana)
forOther,It's for someone else,C'est pour quelqu'un d'autre,Ni kwa mtu mwingine
personName,Name,Nom,Jina
cancel,Cancel,Annuler,Ghairi
add,Add prayer 🙏,Ajouter 🙏,Ongeza ombi 🙏
save,Save,Enregistrer,Hifadhi
savedPrivately,Saved privately.,Enregistré en privé.,Imehifadhiwa faraghani.
savedEncrypted,Saved privately · Encrypted on this device.,Enregistré en privé · Chiffré sur cet appareil.,Imehifadhiwa faraghani · Imesimbwa kwenye kifaa hiki.
weeklyPlan,Weekly plan,Plan hebdomadaire,Mpango wa wiki
weeklyPlanSub,Assign each category to days of the week,Assignez chaque catégorie à des jours de la semaine,Weka kila kundi kwa siku za wiki
addCategory,Add,Ajouter,Ongeza
addCategoryFull,Add a category,Ajouter une catégorie,Ongeza kategoria
newCategory,New category,Nouvelle catégorie,Kundi jipya
edit,Edit,Modifier,Hariri
days,"Sun,Mon,Tue,Wed,Thu,Fri,Sat","Dim,Lun,Mar,Mer,Jeu,Ven,Sam","Jum,Juz,Izi,Tha,Ara,Iju,Jum"
profile,Profile,Profil,Wasifu
memberSince,Member since,Membre depuis,Mwanachama tangu
account,Account,Compte,Akaunti
via,Via,Via,Kupitia
signOut,Sign out,Se déconnecter,Toka
notifications,Notifications,Notifications,Arifa
dailyReminder,Daily reminder,Rappel quotidien,Ukumbusho wa kila siku
dailyReminderSub,Remind you to pray every day,Rappel pour prier chaque jour,Kukumbusha kuomba kila siku
reminderTime,Reminder time,Heure du rappel,Wakati wa ukumbusho
followUp,Prayer follow-up,Suivi des prières,Ufuatiliaji wa maombi
followUpSub,Ask for prayer updates,Demander l'évolution des prières,Omba masasisho ya maombi
followUpFreq,Follow-up frequency,Fréquence du suivi,Mara ngapi
every3days,Every 3 days,Tous les 3 jours,Kila siku 3
everyWeek,Every week,Chaque semaine,Kila wiki
every2weeks,Every 2 weeks,Toutes les 2 semaines,Kila wiki 2
everyMonth,Every month,Chaque mois,Kila mwezi
testNotif,Test notification,Tester une notification,Jaribu arifa
language,Language,Langue,Lugha
languageSub,Interface language,Langue de l'interface,Lugha ya programu
private,Your prayers are private and secure 🔒,Vos prières sont privées et sécurisées 🔒,Maombi yako ni ya siri na salama 🔒
motto,"""The fervent prayer of a righteous person is powerful and effective""","""La prière fervante du juste est d'une grande efficacité""","""Maombi ya mtu mwenye haki yana nguvu nyingi"""
appearance,Appearance,Apparence,Muonekano
themeLight,Light,Clair,Mwanga
themeDark,Dark,Sombre,Giza
themeNight,Night,Nuit,Usiku
continueGoogle,Continue with Google,Continuer avec Google,Endelea na Google
login,Login,Connexion,Ingia
register,Register,Inscription,Jisajili
categoriesHeading,Categories,Catégories,Makundi
newCategoryLabel,New category,Nouvelle catégorie,Kundi jipya
editCategoryLabel,Edit category,Modifier la catégorie,Hariri kundi
emojiLabel,Emoji,Emoji,Emoji
colorLabel,Color,Couleur,Rangi
prayerDays,Prayer days,Jours de prière,Siku za maombi
addBtn,Add,Ajouter,Ongeza
saveBtn,Save,Enregistrer,Hifadhi
tipBack,Back to prayer list,Retour à la liste,Rudi kwenye orodha
tipEditPrayer,Edit this prayer,Modifier cette prière,Hariri ombi hili
tipDeletePrayer,Delete this prayer permanently,Supprimer définitivement cette prière,Futa ombi hili kabisa
tipAiSuggest,Receive suggestions...,Recevoir des suggestions...,Pokea mapendekezo...
tipVerseToggle,Show or hide the verse text,Afficher ou masquer le texte du verset,Onyesha au ficha maandiko ya aya
tipRemovePoint,Remove this prayer point,Supprimer ce point de prière,Ondoa pointi hii ya maombi
tipAddPoint,Add this prayer point to your prayer,Ajouter ce point de prière à votre prière,Ongeza pointi hii kwenye maombi yako
tipSaveUpdate,Save this update,Enregistrer cette évolution,Hifadhi mabadiliko haya
tipMarkAnswered,Mark this prayer as answered by God,Marquer cette prière comme exaucée,Weka alama ombi hili kama lililojibiwa
tipConfirm,Confirm and save your testimony,Confirmer et enregistrer votre témoignage,Thibitisha na uhifadhi ushuhuda wako
tipResume,Move this prayer back to active,Remettre cette prière en actif,Rudisha ombi hili kuwa amilifu
tipExpandSidebar,Expand sidebar,Agrandir le menu,Panua menyu ya pembeni
tipCollapseSidebar,Collapse sidebar,Réduire le menu,Funga menyu ya pembeni
tipAddPrayer,Add a new prayer request,Ajouter une nouvelle prière,Ongeza ombi jipya
tipCloseForm,Close without saving,Fermer sans enregistrer,Funga bila kuhifadhi
tipDiscard,Discard changes and close,Annuler les modifications,Acha mabadiliko
tipSavePrayer,Save your changes,Enregistrer les modifications,Hifadhi mabadiliko
tipAddPrayerForm,Add this prayer to your list,Ajouter cette prière à la liste,Ongeza ombi hili kwenye orodha
tipCreateCategory,Create a new prayer category,Créer une nouvelle catégorie,Unda kundi jipya la maombi
tipEditCategory,Edit this category,Modifier cette catégorie,Hariri kundi hili
tipDeleteCategory,Delete this category,Supprimer cette catégorie,Futa kundi hili
tipToggleDay,Toggle {day} for this category,Activer/désactiver {day} pour cette catégorie,Geuza {day} kwa kundi hili
tipSignOut,Sign out of your account,Se déconnecter du compte,Toka kwenye akaunti
tipTestNotif,Send a test notification to verify they are working,Envoyer une notification test,Tuma arifa ya majaribio
tipExpand,Expand details,Afficher les détails,Onyesha maelezo
tipCollapse,Collapse,Réduire,Funga
addPointManually,Add a prayer point,Ajouter un point de prière,Ongeza pointi ya maombi
pointTitlePlaceholder,Prayer subject...,Sujet de prière...,Mada ya maombi...
pointVersePlaceholder,Bible reference (optional),Référence biblique (facultatif),Rejeo la Biblia (hiari)
tipAddManualPoint,Add this point to the list,Ajouter ce point à la liste,Ongeza pointi hii kwenye orodha
addVerse,Add a verse,Ajouter un verset,Ongeza aya
verseRefPlaceholder,e.g. John 3:16,ex : Jean 3:16,mf: Yohana 3:16
verseTextPlaceholder,Verse text (optional),Texte du verset (facultatif),Maandiko ya aya (hiari)
tipRemoveVerse,Remove this verse,Supprimer ce verset,Ondoa aya hii
tipAddVerse,Add a verse to this point,Ajouter un verset à ce point,Ongeza aya kwenye pointi hii
tipSaveVerse,Save this verse,Enregistrer ce verset,Hifadhi aya hii
aiDayLoading,Finding verses...,Recherche de versets...,Inatafuta aya...
aiDayNoCats,Set up your weekly plan to see suggestions,Configurez votre plan hebdomadaire pour voir des suggestions,Weka mpango wako wa wiki ili uone mapendekezo
emptyAddManual,Add a prayer,Ajouter une prière,Ongeza ombi
emptyEncourage,Start your prayer time,Commencez votre temps de prière,Anza wakati wako wa maombi
feedbackTitle,Leave feedback,Laisser un avis,Toa maoni
feedbackTypeGeneral,General,Général,Jumla
feedbackTypeFeature,Idea,Idée,Wazo
feedbackTypeBug,Bug,Bug,Hitilafu
feedbackPlaceholder,"Share your feedback, ideas, or issues...","Partagez vos retours, suggestions ou problèmes...","Shiriki maoni, mawazo au matatizo yako..."
feedbackAnon,Send anonymously,Envoyer anonymement,Tuma bila jina
feedbackSubmit,Send,Envoyer,Tuma
feedbackThanks,Thank you for your feedback!,Merci pour votre retour !,Asante kwa maoni yako!
feedbackThanksub,Your message has been received. It helps us improve the app.,Votre message a bien été reçu. Il nous aide à améliorer l'app.,Ujumbe wako umepokelewa. Unatusaidia kuboresha programu.
feedbackError,Error sending feedback. Please try again.,Erreur lors de l'envoi. Réessayez.,Hitilafu ya kutuma. Jaribu tena.
feedbackBtn,Give feedback,Donner un avis,Toa maoni
feedbackSub,Help us improve the app,Aidez-nous à améliorer l'application,Tusaidie kuboresha programu
donateTitle,Support the app,Soutenir l'application,Saidia programu
donateSub,"If this app blesses you, consider supporting its development.","Si cette app vous bénit, vous pouvez contribuer à son développement.","Kama programu hii inakubariki, fikiria kuisaidia."
donateWhy,"This app is built alone, on my own time, for free — because I believe prayer changes things. Your donation, however small, helps keep the servers running, improve features, and keep the app free for everyone. Thank you from the bottom of my heart. 🙏","Cette application est développée seul, sur mon temps libre, gratuitement — parce que je crois que la prière change les choses. Votre don, même modeste, aide à maintenir les serveurs, améliorer les fonctionnalités et garder l'app accessible à tous. Merci du fond du cœur. 🙏","Programu hii imetengenezwa peke yangu, kwa muda wangu, bure — kwa sababu ninaamini maombi yanabadilisha mambo. Mchango wako, hata mdogo, husaidia kuendesha seva, kuboresha vipengele na kuifanya programu iwe bure kwa wote. Asante sana kutoka moyoni. 🙏"
donateBtn,Support,Soutenir,Saidia
donateChooseMethod,Choose a payment method,Choisir un moyen de paiement,Chagua njia ya malipo
donateSelectBtn,Select,Choisir,Chagua
donateComingSoon,Coming soon,Bientôt,Hivi karibuni
donateThanks,Every contribution matters. God bless you. 🙏,Chaque contribution compte. Que Dieu vous bénisse. 🙏,Kila mchango unamaanisha. Mungu akubariki. 🙏
close,Close,Fermer,Funga
errorGeneric,Something went wrong. Please try again.,Une erreur est survenue. Réessayez.,Hitilafu imetokea. Tafadhali jaribu tena.
errorBoundaryTitle,Something went wrong,Quelque chose s'est mal passé,Hitilafu imetokea
errorBoundaryBody,An unexpected error occurred. Your prayers are safe. You can try again or reload the app.,Une erreur inattendue s'est produite. Vos prières sont en sécurité. Vous pouvez réessayer ou recharger l'application.,Hitilafu isiyotarajiwa imetokea. Maombi yako ni salama. Unaweza kujaribu tena au kupakia upya programu.
errorBoundaryReload,Reload the app,Recharger l'application,Pakia upya programu
retry,Try again,Réessayer,Jaribu tena
leaveGroupConfirm,Are you sure you want to leave this group?,Êtes-vous sûr de vouloir quitter ce groupe ?,Una uhakika unataka kuondoka kwenye kikundi hiki?
searchRequests,Search a request...,Rechercher une requête...,Tafuta ombi...
noMatch,No results,Aucun résultat,Hakuna matokeo
offline,You're offline,Vous êtes hors ligne,Hauko mtandaoni
shareInviteLink,Share invite link,Partager le lien d'invitation,Shiriki kiungo cha mwaliko
linkCopied,Link copied!,Lien copié !,Kiungo kimenakiliwa!
joinedGroup,You joined the group,Vous avez rejoint le groupe,Umejiunga na kikundi
undo,Undo,Annuler,Tendua
friendRemoved,Friend removed,Ami supprimé,Rafiki ameondolewa
delete,Delete,Supprimer,Futa
deleteWarning,This action can't be undone.,Cette action est irréversible.,Kitendo hiki hakiwezi kutenduliwa.
deleteCategoryConfirm,Delete this category?,Supprimer cette catégorie ?,Futa kategoria hii?
removeMemberConfirm,Remove this member from the group?,Retirer ce membre du groupe ?,Ondoa mwanachama huyu kwenye kikundi?
showQrCode,QR code,Code QR,Msimbo wa QR
scanToJoin,Scan to join the group,Scannez pour rejoindre le groupe,Changanua ili kujiunga na kikundi
joinMyGroup,Join my prayer group,Rejoignez mon groupe de prière,Jiunge na kikundi changu cha maombi
planDayHint,Choose which categories to pray on this day,Choisissez les catégories à prier ce jour,Chagua kategoria za kuombea siku hii
planEmptyDays,These days have nothing planned:,Ces jours n'ont rien de prévu :,Siku hizi hazina mpango:
categoryNotScheduled,Not scheduled,Non planifiée,Haijapangwa
unassignedCategories,{count} category(ies) not scheduled,{count} catégorie(s) non planifiée(s),Kategoria {count} hazijapangwa
autoSchedule,Schedule automatically,Planifier automatiquement,Panga kiotomatiki
categoriesScheduled,Categories scheduled,Catégories planifiées,Kategoria zimepangwa
meAuthor,Me,Moi,Mimi
moveUp,Move up,Monter,Sogeza juu
moveDown,Move down,Descendre,Sogeza chini
prayerDaysHint,"If no day is chosen, follows your category plan","Si aucun jour n'est choisi, suit le plan des catégories","Ikiwa hakuna siku iliyochaguliwa, hufuata mpango wa kategoria"
prayerDaysCustom,Custom days (overrides category plan),Jours personnalisés (remplace le plan des catégories),Siku maalum (hubadilisha mpango wa kategoria)
noCategoriesYet,No categories yet,Aucune catégorie pour l'instant,Bado hakuna kategoria
categoryNamePlaceholder,Category name,Nom de la catégorie,Jina la kategoria
faithfulness,Remember God's faithfulness,Souvenez-vous de la fidélité de Dieu,Kumbuka uaminifu wa Mungu
noAnsweredYet,No answered prayers yet,Aucune prière exaucée pour l'instant,Bado hakuna maombi yaliyojibiwa
noAnsweredSub,"When a prayer is answered, mark it and its testimony will appear here.","Quand une prière est exaucée, marquez-la et son témoignage apparaîtra ici.","Ombi linapojibiwa, liweke alama na ushuhuda wake utaonekana hapa."
seeTranslation,See translation,Voir la traduction,Ona tafsiri
showOriginal,See original,Voir l'original,Ona asili
pushUnsupported,Your browser does not support notifications.,Votre navigateur ne prend pas en charge les notifications.,Kivinjari chako hakitumii arifa.
pushDenied,Notifications were denied. Enable them in your browser settings.,Notifications refusées. Activez-les dans les réglages du navigateur.,Arifa zimekataliwa. Ziwashe katika mipangilio ya kivinjari.
remindersOn,Reminders enabled 🙏,Rappels activés 🙏,Vikumbusho vimewashwa 🙏
onboardScriptureTitle,Pray God's Word,Priez la Parole de Dieu,Omba kwa Neno la Mungu
onboardScriptureBody,"Tap the verse finder to surface Scripture for any request, and read the Bible right where you pray. Grow with guided plans through the Psalms, God's promises, and more.","Touchez le chercheur de versets pour trouver l’Écriture liée à chaque demande, et lisez la Bible là où vous priez. Grandissez avec des guides à travers les Psaumes, les promesses de Dieu, et plus encore.","Gusa kitafuta-mistari ili kupata Andiko linalohusiana na kila ombi, na usome Biblia pale unapoomba. Kua kwa miongozo kupitia Zaburi, ahadi za Mungu, na zaidi."
onboardPlanTitle,Plan your prayers,Planifiez vos prières,Panga maombi yako
onboardPlanBody,"Schedule any prayer — one time or recurring (daily, on chosen days), or even ""until answered."" A simple calendar shows what to pray today, with gentle catch-up when you miss a day.","Programmez chaque prière — ponctuelle ou récurrente (chaque jour, certains jours), ou même « jusqu’à la réponse ». Un calendrier simple montre quoi prier aujourd’hui, avec un rattrapage en douceur si vous manquez un jour.","Ratibu kila ombi — mara moja au la mara kwa mara (kila siku, siku ulizochagua), au hata ‘hadi lijibiwe’. Kalenda rahisi huonyesha la kuombea leo, na urejeshe kwa upole ukikosa siku."
onboardCommunityTitle,Pray together,Priez ensemble,Ombeni pamoja
onboardCommunityBody,"Join groups, share requests, and pray for one another.","Rejoignez des groupes, partagez des sujets et priez les uns pour les autres.","Jiunge na vikundi, shiriki maombi, na muombeane."
onboardVaultTitle,Keep it private,Gardez le secret,Iweke ya faragha
onboardVaultBody,"Lock your private prayers in an end-to-end encrypted vault — only your passphrase opens it, and not even we can read them.","Verrouillez vos prières privées dans un coffre chiffré de bout en bout — seule votre phrase secrète l'ouvre, et même nous ne pouvons pas les lire.","Funga maombi yako ya faragha katika sanduku lililosimbwa kutoka mwanzo hadi mwisho — neno lako la siri pekee linalifungua, hata sisi hatuwezi kuyasoma."
onboardStart,Get started,Commencer,Anza
dataTitle,Your data,Vos données,Data yako
exportData,Export my prayers,Exporter mes prières,Hamisha maombi yangu
exportDataSub,Download all your prayers and testimonies as a file.,Téléchargez toutes vos prières et témoignages en un fichier.,Pakua maombi na ushuhuda wako wote kama faili.
exportDone,Export downloaded 🙏,Export téléchargé 🙏,Uhamishaji umepakuliwa 🙏
thisWeek,this week,cette semaine,wiki hii
newCount,{n} new,{n} nouveau,{n} mpya
syncing,Syncing…,Synchronisation…,Inasawazisha…
pendingChanges,{n} waiting,{n} en attente,{n} zinasubiri
groupSettings,Group settings,Paramètres du groupe,Mipangilio ya kikundi
autoAddRequestsSub,New requests from this group are added to your prayers automatically.,Les nouvelles demandes de ce groupe sont ajoutées automatiquement à vos prières.,Maombi mapya ya kikundi hiki yanaongezwa kwenye maombi yako kiotomatiki.
fromYourGroups,From your groups,Depuis vos groupes,Kutoka vikundi vyako
shareFriendLink,Share your friend link,Partagez votre lien d’ami,Shiriki kiungo chako cha rafiki
friendLinkHint,Anyone who opens this link can send you a friend request,Quiconque ouvre ce lien peut vous envoyer une demande d’ami,Yeyote anayefungua kiungo hiki anaweza kukutumia ombi la urafiki
addMeFriend,Add me as a prayer partner,Ajoute-moi comme partenaire de prière,Niongeze kama mshirika wa maombi
invalidEmail,Please enter a valid email address,Veuillez saisir une adresse e-mail valide,Tafadhali weka anwani sahihi ya barua pepe
alreadyFriends,You're already friends,Vous êtes déjà amis,Tayari ni marafiki
renameGroup,Rename group,Renommer le groupe,Badilisha jina la kikundi
groupRenamed,Group name updated,Nom du groupe mis à jour,Jina la kikundi limesasishwa
